id,Hate_speech,Reference-counternarrative,Target
testCN-35,La crisis de los refugiados en nuestro país es una carga para nuestra sociedad.,"La crisis de los refugiados es una situación compleja que afecta a muchas personas y países. Debemos recordar que los refugiados también aportan habilidades, talento y diversidad cultural a nuestras comunidades. En lugar de verlos como una carga, podríamos abordar esta situación con empatía y buscar soluciones que beneficien a todos en nuestra sociedad.",MIGRANTES
testCN-36,Los migrantes son personas violentas y peligrosas para nosotros.,No todos los migrantes son violentos ni peligrosos. Muchos de ellos buscan una vida mejor y contribuyen positivamente a la sociedad en la que residen. Es importante no generalizar y tratar a cada individuo con respeto y comprensión.,MIGRANTES
testCN-37,Los inmigrantes nos roban el trabajo y arruinan nuestro país.,"Los inmigrantes a menudo contribuyen significativamente al crecimiento económico y a la diversidad cultural de un país. En lugar de ""robar"" empleos, muchos inmigrantes crean nuevas oportunidades y emplean a personas locales en sus propios negocios. Es importante reconocer el valor y las habilidades que los inmigrantes aportan a nuestras comunidades en lugar de difundir miedo y desinformación.",MIGRANTES
testCN-38,Las mujeres no tienen cabida en una sociedad libre y abierta. Deberían limitarse a hacer las tareas domésticas y criar a los hijos sin quejarse.,"Las mujeres han demostrado una y otra vez que son capaces de contribuir de manera significativa a la sociedad en una amplia variedad de campos, desde la ciencia hasta la política. Limitarlas a un papel doméstico es un pensamiento anticuado y desacreditado que no tiene lugar en una sociedad libre y abierta.",MUJERES
testCN-39,El feminismo es una fuerza destructiva que frena el progreso de la humanidad.,"El feminismo es un movimiento que busca la igualdad de género y el empoderamiento de las mujeres. Lejos de ser destructivo, ha permitido un mayor acceso a oportunidades y derechos para mujeres y hombres, lo que ha contribuido al progreso de la humanidad en su conjunto.",MUJERES
testCN-40,"A las feministas no les gustan los hombres, por lo tanto son una amenaza para toda la sociedad.","Las feministas abogan por la igualdad de género y el empoderamiento de las mujeres, lo que no significa que odien a los hombres. De hecho, muchos hombres también se consideran feministas y apoyan la igualdad de género. La igualdad de género es beneficiosa para toda la sociedad, ya que permite a todos desarrollar al máximo su potencial sin restricciones basadas en su género.",MUJERES
testCN-41,"Las mujeres deben dejar de actuar como apologistas de las víctimas de violación, porque esto no es más que una artimaña creada por las mujeres para explotar y dominar a los hombres. El movimiento feminista no trata de la igualdad y el respeto de todos los seres humanos.","El movimiento feminista busca la igualdad y el respeto entre géneros, y abogar por las víctimas de violación es parte de la lucha por la justicia y el apoyo a quienes han sufrido. No se trata de explotar ni dominar a nadie, sino de promover la igualdad y el entendimiento mutuo.",MUJERES
testCN-42,Las feministas son seres sexuales subhumanos violentos.,"Las feministas son personas que abogan por la igualdad de género y el empoderamiento de las mujeres. No es justo ni correcto asociarlas con la violencia o calificarlas como ""subhumanas"". Debemos respetar y apoyar a quienes luchan por un mundo más igualitario y justo para todos.",MUJERES
testCN-43,Las mujeres son menos inteligentes.,Esta afirmación es incorrecta y no se basa en evidencia científica. La inteligencia no está determinada por el género y hay mujeres igual de inteligentes y capaces que los hombres en todos los campos. Debemos celebrar la diversidad y la igualdad en lugar de hacer afirmaciones infundadas.,MUJERES
testCN-44,"Por eso las mujeres no pertenecen a la política, si un hombre se quejara como ellas, le llamarían cobarde y le dirían que se largara del trabajo. La igualdad es una mentira y el feminismo es una sentencia de muerte para cualquier civilización.","Las mujeres son igualmente capaces de participar en la política y en cualquier otro ámbito, ya que tienen habilidades y talentos únicos que enriquecen nuestra sociedad. La igualdad y el feminismo buscan garantizar que todas las personas sean tratadas con respeto y tengan las mismas oportunidades, lo cual es fundamental para una civilización próspera y justa.",MUJERES
testCN-45,Las mujeres líderes colapsarían el gobierno.,"Las mujeres líderes han demostrado ser igual de capaces y exitosas que sus homólogos masculinos en la política y en el gobierno. La capacidad de liderar no se basa en el género, sino en las habilidades, la experiencia y la visión de una persona.",MUJERES
testCN-46,"Las mujeres son básicamente infantiles, permanecen así la mayor parte de su vida. Salvo en caso de divorcio o separación, nadie habla de ellas.","Este comentario generaliza y estereotipa a las mujeres de una manera injusta y ofensiva. Las mujeres, al igual que los hombres, son individuos únicos con habilidades, talentos y capacidades variadas. Estas generalizaciones negativas no tienen base en la realidad y no contribuyen a una discusión productiva y respetuosa.",MUJERES
testCN-47,"Las mujeres son todas infrahumanas, deberíamos parar las feministas que no lo aceptan.","Creo que este comentario es muy negativo e injusto para las mujeres. Las mujeres son igualmente capaces y valiosas en nuestra sociedad, y el feminismo busca promover la igualdad de género y el empoderamiento de todas las personas, independientemente de su género. Debemos apoyar y respetar a todas las personas, independientemente de su género, y trabajar juntos para crear un mundo más igualitario y justo.",MUJERES
testCN-48,"Si los musulmanes británicos fueran como los demás europeos, podríamos estar orgullosos.","Los musulmanes británicos, al igual que cualquier otro grupo en la sociedad, tienen individuos con diversas habilidades, logros y contribuciones. Es injusto juzgar a todo un grupo de personas basándose en estereotipos negativos. Celebremos la diversidad y las valiosas aportaciones de todos en nuestra sociedad.",MUSULMANES
testCN-49,"Nunca podría enamorarme de un musulmán, no me gustan. Tienen síntomas horribles: pereza, agresividad, mal olor.","No creo que sea justo generalizar y estigmatizar a toda una comunidad religiosa basándose en prejuicios y estereotipos negativos. Las personas deben ser juzgadas por su carácter y acciones individuales, no por su religión o grupo étnico. Encontrar el amor depende de la conexión personal y emocional entre dos individuos, independientemente de su origen.",MUSULMANES
testCN-50,El Islam debería ser abolido. Empiezan por mutilar a sus hijas y luego degollarán a nuestras mujeres.,"El Islam, como todas las religiones, tiene una diversidad de creencias y prácticas. No es justo ni exacto generalizar y asociar a todos los musulmanes con acciones extremas y violentas. Es fundamental respetar y comprender las diferencias culturales y religiosas en lugar de propagar miedo y odio.",MUSULMANES
testCN-51,Todos los delincuentes musulmanes deberían ser deportados: ¡todos son terroristas!,"No todos los musulmanes son delincuentes ni terroristas, así como no todos los miembros de cualquier otra religión o grupo étnico son delincuentes o terroristas. Es importante no generalizar ni estigmatizar a una comunidad entera basándonos en las acciones de unos pocos individuos.",MUSULMANES
testCN-52,"Los musulmanes no pueden estar en democracia porque votan con los pies, no con las urnas.","Esta afirmación es incorrecta y generaliza a toda una comunidad. Los musulmanes, como cualquier otro grupo de personas, tienen sus propias opiniones y formas de participar en la democracia. No se puede juzgar a toda una comunidad por las acciones de unos pocos.",MUSULMANES
testCN-53,Los musulmanes nos están invadiendo. No son bienvenidos aquí.,"Los musulmanes, al igual que cualquier otro grupo de personas, tienen el derecho a vivir y prosperar en cualquier lugar del mundo. La diversidad cultural enriquece nuestras comunidades y nos permite aprender unos de otros. Es importante promover el respeto y la tolerancia en lugar de difundir el miedo y la discriminación.",MUSULMANES
testCN-54,"Los musulmanes no tienen nada que aportar a nuestra sociedad, deberían irse del Reino Unido.","Creo que es importante recordar que todas las personas, independientemente de su religión o creencias, tienen habilidades y talentos únicos que pueden aportar a nuestra sociedad. No debemos juzgar a un grupo entero de personas basándonos en estereotipos negativos. En lugar de eso, debemos valorar la diversidad y aprender unos de otros.",MUSULMANES
testCN-55,El islam es una religión de muerte.,"El Islam, como muchas otras religiones, promueve la paz, la comprensión y el respeto hacia los demás. No debemos juzgar a una religión completa basándonos en las acciones de unos pocos extremistas.",MUSULMANES
testCN-56,"El Islam es una religión que promueve la violación, la tortura y el asesinato.","El Islam, como cualquier otra religión, tiene diferentes interpretaciones y prácticas entre sus seguidores. No se puede generalizar ni culpar a toda una religión por las acciones de unos pocos extremistas. La mayoría de los musulmanes son personas pacíficas y compasivas que condenan la violencia y la injusticia.",MUSULMANES
testCN-57,"El Islam no es una religión pacífica, todos los musulmanes son personas violentas.","No estoy de acuerdo con esta afirmación. Hay más de mil millones de musulmanes en el mundo, y como en cualquier grupo grande de personas, hay individuos buenos y malos. No es justo ni correcto generalizar a toda una comunidad basándose en las acciones de unos pocos. Además, el Islam promueve la paz y la compasión hacia los demás.",MUSULMANES
testCN-58,Todos los hombres negros son violadores.,"Este comentario es extremadamente ofensivo e incorrecto. No se puede generalizar y estigmatizar a un grupo entero de personas basándose en el color de su piel. Cada individuo debe ser juzgado por sus acciones y carácter, no por su raza.",POC
testCN-59,somos fuertes cuando todos somos blancos y estamos unidos. no somos fuertes cuando estamos divididos por negros que quieren combatirnos.,"La fuerza de una sociedad no se mide por su homogeneidad racial, sino por su capacidad para unirse y apoyarse mutuamente a pesar de las diferencias. La diversidad enriquece nuestra cultura y nos hace más fuertes como comunidad.",POC
testCN-60,"La raza negra es infrahumana, en África mantienen a sus hijos en condiciones horribles.","No estoy de acuerdo con este comentario, ya que no es justo generalizar a toda una raza o continente. Hay personas de todas las razas y orígenes que enfrentan dificultades y también hay muchos ejemplos de individuos y comunidades que trabajan duro para mejorar sus vidas y las de los demás. Es importante tratar a cada persona como un individuo y no juzgarlas en base a estereotipos negativos.",POC
testCN-61,Vivimos en una sociedad de blancos. Los negros no pertenecen aquí.,"Vivimos en una sociedad multicultural y diversa donde todas las razas y etnias tienen un lugar. Es importante aprender a convivir y respetar a todos los miembros de nuestra comunidad, independientemente de su origen racial.",POC
testCN-62,Todos los negros son violadores.,"Este comentario es extremadamente ofensivo y erróneo. No se puede generalizar y estigmatizar a todo un grupo racial basándose en acciones individuales. Las personas deben ser juzgadas por su carácter y acciones, no por su raza.",POC
testCN-63,Ningún negro debería tener derecho a voto.,"Esta afirmación es completamente inaceptable y va en contra de los principios fundamentales de igualdad y democracia. Todas las personas, independientemente de su raza, merecen tener voz y voto en la sociedad.",POC
testCN-64,Los negros cometen más delitos que los blancos.,Esta afirmación es un estereotipo negativo y no representa a toda la comunidad negra. Es importante considerar las circunstancias individuales y no juzgar a un grupo completo de personas basándose en el comportamiento de algunos individuos.,POC
testCN-65,"¿Quién coño es Breonna Taylor? ¿Una representante del pueblo, una enfermera o una tapadera del gobierno?","Breonna Taylor fue una joven afroamericana que trabajaba como técnica médica de emergencias y que, lamentablemente, perdió la vida en un trágico incidente con la policía. Su caso ha generado conciencia sobre la necesidad de reformar las prácticas policiales y abogar por la justicia y la igualdad.",POC
testCN-66,Tenemos que proteger a nuestra gente. Los negros deben ser deportados.,"Proteger a nuestra gente implica respetar la diversidad y fomentar la inclusión en nuestra sociedad. Todos merecen ser tratados con igualdad, independientemente de su raza o etnia. La deportación basada en el color de piel va en contra de los valores de igualdad y justicia.",POC
testCN-67,los negros son inferiores.,"Este tipo de comentarios no aporta nada constructivo y solo perpetúa la discriminación y el odio. Todos somos seres humanos con nuestras propias habilidades y talentos, independientemente del color de piel. La diversidad nos enriquece y nos hace más fuertes como sociedad.",POC
testCN-68,"¿De qué demonios estás hablando? Los árabes son diferentes, ni siquiera hablan inglés.","Los árabes, al igual que cualquier otro grupo de personas, tienen su propia cultura y lengua. Sin embargo, eso no significa que sean menos capaces de aprender inglés u otros idiomas, ni que sean menos inteligentes o valiosos que cualquier otro grupo. La diversidad enriquece nuestra sociedad y debemos celebrar nuestras diferencias en lugar de discriminar en base a ellas.",otros
testCN-69,El mundo europeo está siendo invadido y sustituido por inmigrantes y musulmanes.,"La diversidad cultural en Europa ha existido desde hace siglos y ha enriquecido nuestras sociedades de diversas maneras. La inmigración es un fenómeno normal en la historia de la humanidad y, en lugar de verlo como una invasión, debemos aprender a convivir y respetar las diferencias culturales.",otros
testCN-70,Los gitanos son sucios,Los gitanos son una comunidad diversa y rica en cultura y tradiciones. No es justo ni correcto generalizar o estigmatizar a todo un grupo de personas basándonos en prejuicios o estereotipos negativos. Debemos aprender a respetar y apreciar las diferencias culturales y celebrar la diversidad en nuestra sociedad.,otros
testCN-71,"Por supuesto, ¡hay que discriminar los comportamientos poco saludables, no a los gordos!","En lugar de discriminar o juzgar a las personas por su apariencia o comportamiento, sería más constructivo promover hábitos saludables y apoyar a aquellos que buscan mejorar su bienestar físico y emocional. Todos merecen respeto y comprensión.",otros
testCN-72,Si a los musulmanes no se les permitiera emigrar aquí todos estaríamos mejor,Esta afirmación simplifica injustamente una situación compleja. La diversidad cultural es enriquecedora y aporta beneficios a la sociedad en general. Es importante recordar que las personas de todas las religiones y orígenes pueden contribuir positivamente al país en el que viven.,otros
testCN-73,Los nativos americanos tienen cero puto derecho a su tierra. No han vivido en ella desde tiempos inmemoriales.,"Los nativos americanos tienen una rica historia y una profunda conexión con sus tierras ancestrales. Su cultura y tradiciones merecen respeto y preservación, y es importante reconocer y honrar sus derechos sobre esas tierras.",otros
testCN-74,Los musulmanes no son bienvenidos aquí. No son como nosotros y no pueden coexistir con nosotros.,Creo que es importante recordar que la diversidad cultural y religiosa es lo que hace que nuestras comunidades sean más ricas y vibrantes. La convivencia pacífica es posible cuando nos esforzamos por entender y respetar nuestras diferencias y encontrar un terreno común.,otros
testCN-75,Los musulmanes sólo están en esto para hacernos explotar.,Creo que es muy importante no generalizar a toda una comunidad religiosa basándonos en las acciones de unos pocos extremistas. La mayoría de los musulmanes son personas pacíficas y respetuosas que solo buscan vivir sus vidas en armonía con los demás.,otros
testCN-76,No tenemos por qué ser esclavos de otros países: debemos dejar de aceptar a los negros en nuestro país.,"Creo que el enfoque debería estar en promover la igualdad y la justicia para todas las personas, independientemente de su origen étnico o nacionalidad. La diversidad es una fuerza positiva y enriquecedora para nuestra sociedad.",otros
testCN-77,Debemos derrocar el Estado existente y sustituirlo por uno de supremacía blanca.,"La idea de derrocar un estado para establecer otro basado en la supremacía de un grupo étnico va en contra de los valores de igualdad, diversidad y respeto por los derechos humanos que fundamentan nuestras sociedades modernas. En lugar de promover el odio y la discriminación, deberíamos esforzarnos por trabajar juntos en la construcción de un futuro más inclusivo y equitativo para todos.",otros
testHS-D01,"🇮🇱#URGENTE: Decenas de terroristas de #Hamas se han rendido frente al edificio de la UNRWA en #Gaza.

Ahorita salen los borregos antisemitas diciendo palabras de discapacitados mentales: Es un crimen, #Israel está perdiendo la guerra, free free free free palestine. 😭🤣","Entiendo que no estés de acuerdo con lo que está sucediendo, sin embargo, no es motivo para recurrir al insulto,además de que utilizar ""discapacitados mentales"" para hacer daño no es respetuoso para aquellas personas que tengan alguna discapacidad.",DISCAPACITADOS
testHS-D02,no podeis ser todos autistas necesitamos fontaneros,"¿Por qué crees que todos son autistas? No obstante, si así fuese no sería ningún problema. De hecho, los autistas pueden ser fontaneros y muy buenos. Ya que su condición les hace especializarse en aquello que les gusta hasta llegar a ser de los mejores. ",DISCAPACITADOS
testHS-D03,me cansé de los autistas busco hombre que no sea un mongolico,"No deberías utilizar el término ""mongolico"" para referirte a las personas con autismo, ya que puede resultar una palabra ofensiva. Las personas con autismo tienen dificultades para desarrollar sus habilidades sociales, al igual que a ti te puede resultar difícil desarrollar otras habilidades. Todos los humanos merecen el mismo trato y respeto. Ellos solo necesitan que seamos comprensivos y les facilitemos su integración en la sociedad, sin estigmatizarlos. Solo así avanzaremos como sociedad.",DISCAPACITADOS
testHS-D04,"También son ganas de pasar por un cole justo a la hora de entrar. A veces parece que busquéis que todo gire a vuestro alrededor con la excusa de la discapacidad. Ayudaros por supuesto, pero ni tanto ni tan poco...","¿Por qué te resulta molesto? ¿Opinarías igual ante el paso de una persona mayor? Las personas con discapacidad deberían tener el mismo derecho a la libertad de movimiento que cualquier otro ciudadano/a. Por tu comentario, parece que deberían establecerse unos límites a la ayuda a las personas con discapacidad. Esto es un razonamiento cuestionable, pues es una cuestión de derechos, y en ese sentido todos debemos tratar de garantizarlos. En eso consiste la convivencia cívica, que incluye respeto y comprensión.",DISCAPACITADOS
testHS-D05,que asco m dan los discapacitados,Creo que te equivocas al juzgar a las personas por su condición. La diversidad nos enriquece y todos merecemos respeto y comprensión independientemente de nuestras capacidades. Te animo a conocer más sobre las habilidades y contribuciones de las personas con discapacidad.,DISCAPACITADOS
testHS-D06,que asco de subnormales,"¿No crees que estás siendo ofensivo sin razón? Las personas con discapacidad son tan válidas como cualquier otra y merecen el mismo respeto y oportunidades que el resto, ya que es un derecho inherente a todos los seres humanos.",DISCAPACITADOS
testHS-D07,"Hay gente estúpida en está red. Los antivacunas son unos insufribles, anormales, inmamables. Pueden darme block con todo gusto no me intersa leer sus opiniones.","La postura antivacuna es una opinión tan respetable como la tuya. Entiendo que no la compartas, sin embargo, no es motivo para recurrir al insulto. Las personas con discapacidad no tienen nada que ver con esta opinión. ",DISCAPACITADOS
testHS-D08,La línea está cerrada desde diciembre. La izquierda es una secta de retrasados mentales.,"Este tipo de comentarios no deberían estar permitidos en una sociedad que busca la inclusión, la tolerancia y el respeto. Utilizar el término “retrasado mental” denota una falta de respeto hacia las personas que padecen una discapacidad mental, además de ser inapropiado para referirse a una ideología política. ",DISCAPACITADOS
