,id,Hate_speech,Reference-counternarrative,Target
16,trainCN-16,Los niños con síndrome de Down son un problema: fomentan el comportamiento acosador en los niños normales. Deberían ir a un colegio especial solo para ellos.,"Los niños con síndrome de Down tienen igual derecho a una educación inclusiva y de calidad como cualquier otro niño. La clave para abordar el acoso escolar es educar y enseñar a todos los niños sobre la diversidad y el respeto hacia los demás, independientemente de sus diferencias. La inclusión y la aceptación en las escuelas benefician a todos los estudiantes, no solo a aquellos con discapacidades.",DISCAPACITADOS
17,trainCN-17,"A los niños con dificultades de aprendizaje no les gusta leer. Entonces, ¿por qué perder el tiempo enseñándoles?","Creo que es importante brindar a todos los niños la oportunidad de aprender y crecer, independientemente de sus habilidades. Enseñar a leer a los niños con dificultades de aprendizaje puede ayudarlos a desarrollar habilidades importantes y a tener una vida más rica y plena. No debemos subestimar el potencial de ningún niño.",DISCAPACITADOS
18,trainCN-18,los discapacitados mentales son antisociales,"Las personas con discapacidades mentales pueden enfrentarse a muchos desafíos en su vida, pero eso no significa que sean antisociales. De hecho, muchos de ellos tienen habilidades sociales excepcionales y pueden establecer relaciones significativas con los demás. No debemos estigmatizar ni juzgar a alguien basándonos en sus discapacidades, sino celebrar la diversidad y apoyar a todos en nuestra sociedad.",DISCAPACITADOS
19,trainCN-19,Los discapacitados mentales tienen un coeficiente intelectual bajo y son antisociales.,"Las personas con discapacidades mentales pueden enfrentar desafíos en la vida, pero también pueden ser miembros valiosos y capaces de la sociedad. No es justo estigmatizarlos por sus diferencias y asumir que son antisociales o incapaces de prosperar. La empatía y el apoyo pueden marcar una gran diferencia en sus vidas.",DISCAPACITADOS
20,trainCN-20,los discapacitados mentales no son más que mongólicos babeantes.,"Las personas con discapacidades mentales merecen respeto y comprensión, al igual que todos los demás. No debemos definir a nadie únicamente por sus desafíos, sino también por sus habilidades y potencial para contribuir a la sociedad.",DISCAPACITADOS
21,trainCN-21,Los discapacitados no deberían poder votar.,"Los derechos de todos los ciudadanos, incluyendo a las personas discapacitadas, deben ser respetados y protegidos. El voto es un derecho fundamental en una democracia y todos deben tener la oportunidad de ejercerlo, independientemente de su capacidad física o mental.",DISCAPACITADOS
22,trainCN-22,los discapacitados no pueden trabajar.,"Las personas con discapacidades tienen habilidades y talentos únicos que pueden aportar al lugar de trabajo. A menudo, con las adaptaciones y el apoyo adecuados, pueden desempeñar un papel valioso en cualquier equipo y contribuir significativamente al éxito de una empresa. No debemos subestimar su potencial ni limitar sus oportunidades.",DISCAPACITADOS
23,trainCN-23,Los discapacitados son una carga para la sociedad.,"Las personas con discapacidades pueden enfrentar desafíos adicionales en la vida, pero eso no significa que sean una carga para la sociedad. De hecho, muchas personas con discapacidades contribuyen de manera significativa a nuestras comunidades y enriquecen nuestras vidas con sus perspectivas y habilidades únicas. Es importante recordar que todos merecen respeto y oportunidades, independientemente de sus habilidades físicas o mentales.",DISCAPACITADOS
24,trainCN-24,Los discapacitados no son mejores que los perros.,"Las personas con discapacidades son seres humanos valiosos y merecen respeto, igualdad y dignidad al igual que todos los demás. Comparar a alguien con un perro es deshumanizador e inaceptable. Debemos celebrar y apoyar la diversidad de habilidades en nuestra sociedad.",DISCAPACITADOS
25,trainCN-25,Los discapacitados son un problema. No pertenecen a una sociedad libre de retrasos mentales.,"Creo que es importante recordar que todos somos seres humanos y merecemos respeto y amor, independientemente de nuestras diferencias. La diversidad es lo que hace que nuestra sociedad sea fuerte y vibrante. En lugar de ver a las personas con discapacidades como un ""problema"", deberíamos apreciar y celebrar lo que cada individuo aporta a nuestro mundo.",DISCAPACITADOS
26,trainCN-26,"Dejamos entrar a miles de personas con enfermedades mentales graves, muchas de ellas procedentes del Cáucaso y de la antigua Unión Soviética. Por eso los servicios de salud mental están en crisis.","La crisis en los servicios de salud mental es un problema complejo que no puede atribuirse simplemente a la llegada de personas de otras regiones. Es importante abordar las causas fundamentales de la crisis y trabajar juntos para encontrar soluciones, en lugar de buscar chivos expiatorios.",DISCAPACITADOS
27,trainCN-27,Algunas personas están enfermas. Algunas personas tienen discapacidades. ¿No crees que deberían ocultársenos?,"Creo que es importante reconocer y celebrar la diversidad en nuestra sociedad, incluyendo a aquellos con discapacidades. Ocultar a estas personas sólo perpetuaría la ignorancia y la discriminación. En cambio, debemos fomentar la inclusión y la comprensión.",DISCAPACITADOS
28,trainCN-28,"¿No deberíamos concentrarnos en ayudarnos a nosotros mismos, en lugar de a las personas con discapacidades físicas?","Creo que es importante apoyar a todos los miembros de nuestra sociedad, incluyendo a las personas con discapacidades físicas. Ayudar a otros no significa que nos descuidemos a nosotros mismos; podemos hacer ambas cosas y crear una comunidad más inclusiva y comprensiva.",DISCAPACITADOS
29,trainCN-29,"Esta chica no tiene autismo, sólo es un bicho raro de otra especie humana, muy alejada de nuestra especie normal. Por lo tanto, debería irse.","No estoy de acuerdo con esa afirmación. El autismo es un trastorno del desarrollo que afecta a las personas de diferentes maneras. No es justo etiquetar a alguien como ""bicho raro"" o ""diferente"" simplemente porque experimentan el mundo de una manera distinta a la tuya. La empatía y la comprensión son fundamentales para construir una sociedad inclusiva y respetuosa.",DISCAPACITADOS
30,trainCN-30,"Esta perra no tiene autismo, sólo es un bicho raro.",No estoy de acuerdo con esa afirmación. El autismo es un trastorno del neurodesarrollo que puede manifestarse de diferentes maneras en diferentes personas. No es apropiado juzgar o etiquetar a alguien de esa manera.,DISCAPACITADOS
31,trainCN-31,"Esto no es normal: este niño es diferente, tiene autismo. Estamos haciendo demasiado para cuidar de él.","Todos los niños son únicos y tienen sus propias necesidades. Los niños con autismo pueden enfrentar desafíos adicionales, pero también tienen habilidades y talentos increíbles. Como sociedad, debemos apoyar y cuidar de cada individuo, independientemente de sus diferencias, y ayudarlos a alcanzar su máximo potencial.",DISCAPACITADOS
32,trainCN-32,Una persona con dificultades de aprendizaje no debería enseñar.,"Las personas con dificultades de aprendizaje pueden, de hecho, ser excelentes educadores. A menudo, su experiencia personal les permite ser más empáticos, comprensivos y creativos en sus métodos de enseñanza, lo que puede beneficiar a todos los estudiantes.",DISCAPACITADOS
33,trainCN-33,La responsabilidad de la discapacidad recae en las personas que no les prestan suficiente apoyo.,"La discapacidad puede ser un desafío para las personas que la experimentan, pero no es responsabilidad de nadie en particular. En cambio, es importante que todos, como sociedad, trabajemos juntos para garantizar que las personas con discapacidades reciban el apoyo y la inclusión que merecen.",DISCAPACITADOS
34,trainCN-34,"Todo el mundo tiene derecho a opinar, pero creo que es mejor tener un espacio seguro para que las personas discapacitadas tengan sus propios sentimientos lejos de la sociedad.","Creo que es importante que las personas con discapacidades tengan espacios seguros para expresarse y recibir apoyo, pero esto no significa que deban estar separadas de la sociedad. La inclusión y la aceptación son fundamentales para fomentar la comprensión y el respeto mutuo entre todos los miembros de la comunidad.",DISCAPACITADOS
35,trainCN-35,A los discapacitados no se les debe permitir vivir su vida.,"Las personas con discapacidades tienen el mismo derecho a vivir su vida y disfrutar de sus experiencias como cualquier otra persona. Es importante promover la inclusión y el apoyo para todos, independientemente de sus habilidades.",DISCAPACITADOS
36,trainCN-36,A los discapacitados no se les debe permitir vivir su vida. Podemos empezar por limitarles sus derechos.,"Todos merecen vivir su vida al máximo, independientemente de sus habilidades o discapacidades. Limitar los derechos de las personas con discapacidad no solo es inhumano, sino también una violación de los principios básicos de igualdad y justicia. En lugar de limitar sus derechos, deberíamos trabajar juntos para garantizar que tengan las mismas oportunidades que todos los demás.",DISCAPACITADOS
37,trainCN-37,Los discapacitados están locos del cerebro. Son psicópatas y no merecen ningún tratamiento porque es culpa suya que lo sean.,"Las personas con discapacidades merecen respeto y comprensión, al igual que cualquier otra persona. La discapacidad no es una elección, y no es culpa de nadie. Además, muchas personas con discapacidades son perfectamente capaces de llevar vidas plenas y significativas. No es justo ni correcto juzgar a alguien por algo que está fuera de su control.",DISCAPACITADOS
38,trainCN-38,"Algunas personas están enfermas. Algunas personas tienen discapacidades. La sociedad no está hecha para ellos, sufren demasiado.","La sociedad está compuesta por personas de todos los niveles de habilidad y circunstancias. En lugar de excluir a aquellos que enfrentan desafíos, debemos esforzarnos por ser inclusivos y apoyar a todos los miembros de nuestra comunidad, asegurándonos de que tengan las oportunidades y recursos necesarios para tener una vida plena y feliz.",DISCAPACITADOS
39,trainCN-39,Son discapacitados. Esto significa que son débiles e indignos de amor.,"Las personas con discapacidades pueden enfrentar desafíos únicos en sus vidas, pero eso no les hace menos dignos de amor y respeto. Todos merecen ser tratados con amabilidad y empatía, independientemente de sus habilidades físicas o mentales.",DISCAPACITADOS
40,trainCN-40,Toda persona discapacitada física o mentalmente debe ser apartada de la sociedad.,"No puedo estar de acuerdo con esta afirmación. Las personas con discapacidades, ya sean físicas o mentales, tienen mucho que ofrecer a la sociedad y merecen igualdad de oportunidades y respeto. Es importante fomentar la inclusión y la diversidad en nuestra sociedad, en lugar de excluir a las personas basándonos en sus diferencias.",DISCAPACITADOS
41,trainCN-41,Los niños con síndrome de Down deben ser aislados para que no hagan daño a otros niños.,"Los niños con síndrome de Down tienen derecho a ser tratados con respeto y dignidad, al igual que cualquier otro niño. La inclusión y la aceptación son fundamentales para su desarrollo y bienestar. En lugar de aislarlos, debemos promover la empatía y la comprensión para construir un entorno enriquecedor y positivo para todos los niños.",DISCAPACITADOS
42,trainCN-42,Los Downies son tontos,"Las personas con síndrome de Down pueden tener dificultades en algunas áreas, pero también tienen habilidades y talentos únicos. No debemos juzgar a alguien por sus desafíos, sino celebrar sus logros y potencial.",DISCAPACITADOS
43,trainCN-43,Los downies pueden entorpecer la productividad de otros trabajadores. Deben ser aislados.,Las personas con síndrome de Down tienen habilidades y talentos únicos que pueden contribuir de manera positiva al lugar de trabajo. La inclusión y el apoyo adecuado pueden ayudar a todos los empleados a alcanzar su máximo potencial y promover un entorno laboral armonioso.,DISCAPACITADOS
44,trainCN-44,Los Downies son un problema: crean tensiones con otros trabajadores porque son discapacitados y no pueden seguir el ritmo. Deberían tener trabajos especiales solo para ellos.,"Las personas con síndrome de Down son seres humanos únicos y valiosos que merecen respeto y oportunidades, al igual que cualquier otra persona. En lugar de marginarlos, deberíamos encontrar maneras de apoyarlos y adaptar los entornos laborales para que puedan contribuir y prosperar. La diversidad y la inclusión enriquecen nuestras sociedades y nos hacen más fuertes.",DISCAPACITADOS
45,trainCN-45,Las personas con síndrome de Down son menos que humanas.,"Las personas con síndrome de Down son tan humanas como cualquier otra persona y merecen el mismo respeto, amor y oportunidades que todos los demás. La diversidad en nuestra sociedad nos hace más fuertes y enriquece nuestras vidas. Debemos celebrar nuestras diferencias y aprender a apoyarnos mutuamente.",DISCAPACITADOS
46,trainCN-46,Los discapacitados son delincuentes.,"Las personas con discapacidades son individuos únicos y valiosos que enfrentan desafíos y luchan por superarlos, al igual que cualquier otra persona. No es justo ni preciso etiquetar a un grupo entero de personas como delincuentes basándose en su condición de discapacidad.",DISCAPACITADOS
47,trainCN-47,Los discapacitados mentales deben ser aislados.,"Las personas con discapacidades mentales merecen ser tratadas con respeto y dignidad, al igual que todos los demás. Aislarlos no es la solución; en cambio, debemos trabajar juntos para crear una sociedad inclusiva y comprensiva que celebre la diversidad y apoye a todos sus miembros.",DISCAPACITADOS
48,trainCN-48,Los discapacitados físicos también son discapacitados mentales.,Esta afirmación es incorrecta y perpetúa estereotipos negativos. Las personas con discapacidades físicas pueden tener habilidades cognitivas y mentales completamente normales e incluso superiores. Es importante tratar a cada individuo como una persona única y no hacer suposiciones basadas en su apariencia física.,DISCAPACITADOS
49,trainCN-49,Los downies no saben una mierda y entorpecen la productividad de los demás trabajadores. Deberían ser aislados.,"Las personas con síndrome de Down tienen habilidades y talentos únicos, al igual que cualquier otro individuo. No debemos juzgar a alguien por su condición genética, sino más bien celebrar la diversidad y fomentar un entorno inclusivo en el lugar de trabajo y en la sociedad en general.",DISCAPACITADOS
50,trainCN-50,"No discriminamos, pero los discapacitados son vagos.","Creo que estás generalizando a las personas con discapacidades. La realidad es que muchas personas con discapacidades enfrentan desafíos adicionales en su vida diaria y, a pesar de eso, trabajan duro y contribuyen de manera valiosa a la sociedad. Es importante recordar que cada persona es única y no se puede juzgar a todos por las acciones de unos pocos.",DISCAPACITADOS
51,trainCN-51,Los discapacitados mentales no entienden nada.,"Las personas con discapacidades mentales tienen habilidades y capacidades diversas, y es importante reconocer y respetar sus diferencias. No debemos subestimar su capacidad para comprender y participar en la sociedad.",DISCAPACITADOS
52,trainCN-52,Los discapacitados mentales no pueden hablar.,"Las personas con discapacidades mentales tienen habilidades y talentos únicos, y muchas de ellas pueden comunicarse de manera efectiva, incluso si no siempre es a través del habla tradicional. Es importante reconocer y valorar las diferencias individuales en lugar de hacer suposiciones negativas.",DISCAPACITADOS
53,trainCN-53,Los discapacitados no quieren trabajar porque no pueden. Debemos tomar decisiones en su nombre.,"Las personas con discapacidades tienen diferentes habilidades y capacidades, y muchas de ellas están más que dispuestas y son capaces de trabajar y contribuir a la sociedad. Debemos apoyar y empoderar a las personas con discapacidades para que tomen sus propias decisiones y vivan una vida plena e independiente.",DISCAPACITADOS
54,trainCN-54,"Los discapacitados son criminales, son malos con los niños y son incapaces de ser buenos padres.","Las personas con discapacidades no deben ser generalizadas ni estigmatizadas de esta manera. Ser discapacitado no tiene ninguna relación con ser criminal o mal padre. Cada individuo es diferente y debe ser tratado con respeto y dignidad. En lugar de difundir prejuicios, deberíamos apoyar y empoderar a todos los miembros de nuestra sociedad.",DISCAPACITADOS
55,trainCN-55,Hay trastornos que dificultan la capacidad de opinar.,"Es importante recordar que cada persona es única y tiene sus propias habilidades y desafíos. No debemos juzgar a alguien por sus dificultades, sino apoyar y fomentar el entendimiento y la inclusión. Todos tienen derecho a expresar su opinión y ser escuchados.",DISCAPACITADOS
56,trainCN-56,Los discapacitados mentales lo tienen muy fácil.,"No estoy de acuerdo con esa afirmación. Las personas con discapacidades mentales enfrentan desafíos únicos en su vida diaria y a menudo requieren un apoyo adicional para superar esos desafíos. No es justo minimizar sus luchas y asumir que lo tienen ""fácil"". En lugar de eso, deberíamos centrarnos en fomentar la comprensión y el apoyo para todos, independientemente de sus capacidades.",DISCAPACITADOS
57,trainCN-57,Los discapacitados mentales son delincuentes.,"Las personas con discapacidades mentales no deben ser estigmatizadas ni etiquetadas como delincuentes. Cada individuo es único y debe ser tratado con respeto y comprensión, independientemente de sus habilidades. La discriminación hacia las personas con discapacidades sólo perpetúa la ignorancia y la intolerancia.",DISCAPACITADOS
58,trainCN-58,Los downies en la industria son un problema: crean tensiones con otros trabajadores porque son discapacitados y no pueden seguir el ritmo. Deberían tener trabajos especiales solo para ellos.,"Las personas con síndrome de Down tienen habilidades únicas y valiosas que pueden aportar al lugar de trabajo. En lugar de excluirlos, deberíamos enfocarnos en crear entornos inclusivos y accesibles que permitan a todos los empleados alcanzar su máximo potencial. La diversidad en el lugar de trabajo es una fortaleza, no una debilidad.",DISCAPACITADOS
59,trainCN-59,"Los niños con síndrome de Down deben ser aislados, porque en cualquier caso los niños normales les harían sentirse diferentes, acabando en una discriminación no deseada.","Creo que es importante enseñar a todos los niños a ser inclusivos y respetuosos con las diferencias de los demás, en lugar de aislar a alguien por tener síndrome de Down. Fomentar la inclusión y la empatía puede ayudar a prevenir la discriminación y promover un ambiente positivo para todos.",DISCAPACITADOS
60,trainCN-60,"Los niños con síndrome de Down deben ser aislados, no sólo son una carga para los niños normales, sino que además no pueden afrontar la educación en escuelas normales.","Los niños con síndrome de Down tienen derecho a recibir una educación inclusiva y de calidad, al igual que cualquier otro niño. La diversidad en las aulas enriquece a todos los estudiantes y promueve la empatía, la comprensión y el respeto mutuo. Además, muchos niños con síndrome de Down han demostrado ser capaces de enfrentar y adaptarse a entornos educativos regulares con el apoyo adecuado.",DISCAPACITADOS
61,trainCN-61,"Los niños con síndrome de Down deben ser aislados, pues no sólo son una carga para los niños normales, sino que además necesitan muchos más cuidados, atención y terapias exhaustivas, lo que hace que toda la empresa resulte muy costosa y requiera mucho tiempo. Este tiempo podría emplearse en el desarrollo de niños sin síndrome de Down.","Creo que es fundamental recordar que todos los niños tienen derecho a una educación inclusiva y a recibir apoyo según sus necesidades individuales. Al fomentar un ambiente de aceptación y diversidad, estamos ayudando a todos los niños a desarrollar habilidades sociales y emocionales valiosas, además de promover la igualdad y el respeto. En lugar de centrarnos en el tiempo y los recursos que se invierten en un grupo específico de niños, podríamos enfocarnos en cómo podemos mejorar y adaptar nuestro sistema educativo para que sea más inclusivo y accesible para todos.",DISCAPACITADOS
62,trainCN-62,"Los niños con síndrome de Down deben ser aislados, pues no sólo son una carga para los niños normales, sino que además requieren muchos más cuidados, atención y terapias exhaustivas, lo que hace que toda la empresa resulte muy costosa y requiera mucho tiempo. Este tiempo podría emplearse en el desarrollo de niños sin síndrome de Down.","Los niños con síndrome de Down tienen derecho a recibir la misma educación y oportunidades que cualquier otro niño. Su inclusión en la sociedad y en el sistema educativo fomenta la diversidad, la empatía y el respeto entre todos los niños. Además, con el apoyo adecuado, pueden alcanzar su máximo potencial y contribuir de manera valiosa a nuestra sociedad. No debemos medir el valor de un individuo basándonos únicamente en sus habilidades o en el costo de su atención, sino en su humanidad y en su capacidad para enriquecer nuestras vidas.",DISCAPACITADOS
63,trainCN-63,"Los niños Downy deben ser aislados, no pueden afrontar la educación en escuelas normales y perjudican la educación de sus compañeros.","Creo que estás malinterpretando la situación. Los niños con síndrome de Down tienen capacidades diferentes y pueden beneficiarse de una educación inclusiva. Además, su presencia en las escuelas puede enseñar a los demás niños sobre la diversidad y la empatía. La educación inclusiva es beneficiosa para todos los involucrados.",DISCAPACITADOS
64,trainCN-64,"Los niños con síndrome de Down deben ser aislados, no sólo son una carga para los niños normales, sino que además no pueden afrontar una educación normal.","Las personas con síndrome de Down tienen derecho a una educación inclusiva y a estar en un ambiente enriquecedor. Al incluirlos en entornos educativos regulares, no solo se les brinda la oportunidad de aprender y crecer, sino que también se fomenta la empatía y la comprensión entre todos los estudiantes. La diversidad nos hace más fuertes como sociedad.",DISCAPACITADOS
65,trainCN-65,"Hay que aislar a los discapacitados, especialmente a los autistas. No se les debe permitir tener contacto con otros discapacitados.","Creo que lo más importante es fomentar la inclusión y el respeto hacia todos, independientemente de sus habilidades o discapacidades. Todos merecen la oportunidad de interactuar y aprender unos de otros en un ambiente seguro y de apoyo.",DISCAPACITADOS
66,trainCN-66,Los discapacitados son simplemente infrahumanos.,"Los discapacitados son seres humanos que enfrentan desafíos únicos, pero eso no les hace menos valiosos ni menos humanos. Todos merecen respeto y oportunidades para tener una vida plena y satisfactoria.",DISCAPACITADOS
67,trainCN-67,"Los discapacitados deberían vivir aislados, porque sencillamente no pueden vivir en esta sociedad.","Las personas con discapacidades tienen derecho a vivir y participar plenamente en la sociedad, al igual que todos los demás. La inclusión y la igualdad de oportunidades son fundamentales para construir una sociedad justa y comprensiva. Debemos trabajar juntos para eliminar las barreras y estigmas que enfrentan, en lugar de aislarlos.",DISCAPACITADOS
68,trainCN-68,Los discapacitados deberían vivir aislados.,"Los discapacitados, como cualquier otra persona, merecen igualdad de oportunidades y plena inclusión en la sociedad. Aislar a alguien debido a sus diferencias no es una solución justa ni compasiva. Todos podemos aprender y crecer juntos a través de la diversidad y la empatía.",DISCAPACITADOS
69,trainCN-69,"Los niños con síndrome de Down son retrasados, por lo que son más propensos a abusar de las drogas y el alcohol.","Las personas con síndrome de Down tienen habilidades y talentos únicos, al igual que cualquier otra persona. No es justo ni preciso asumir que son más propensos a abusar de las drogas y el alcohol. Debemos apoyar y celebrar la diversidad en lugar de difundir estereotipos negativos.",DISCAPACITADOS
70,trainCN-70,"Tenemos que acabar con el síndrome de Down en el Reino Unido, de lo contrario estamos condenados al declive genético y social.","Las personas con síndrome de Down tienen mucho que aportar a la sociedad y merecen ser tratadas con igualdad y respeto. Eliminar la diversidad y la inclusión no es la solución para mejorar nuestra sociedad, sino fomentar la tolerancia y la comprensión.",DISCAPACITADOS
71,trainCN-71,Los discapacitados físicos son menos útiles que las personas normales.,"Las personas con discapacidades físicas pueden enfrentar desafíos diferentes a los de las personas sin ellas, pero eso no significa que sean menos útiles o valiosas. De hecho, hay muchos individuos discapacitados que han demostrado ser increíblemente talentosos y exitosos en diversos campos. La diversidad y la inclusión son clave para el crecimiento y el progreso de nuestra sociedad.",DISCAPACITADOS
72,trainCN-72,Las personas con dificultades cognitivas deberían tener prohibida la entrada en las universidades.,"Las personas con dificultades cognitivas tienen derecho a recibir una educación adecuada y a su medida, al igual que cualquier otra persona. Las universidades pueden ofrecer programas y apoyos específicos que les permitan desarrollar sus habilidades y contribuir a la sociedad de manera valiosa. No debemos limitar las oportunidades de nadie basándonos en prejuicios o estereotipos.",DISCAPACITADOS
73,trainCN-73,Los niños con discapacidad intelectual deben ser aislados. Es un trastorno mental y no pueden contribuir a la sociedad.,"Los niños con discapacidad intelectual tienen mucho que ofrecer a la sociedad y merecen la oportunidad de aprender, crecer y desarrollarse junto a sus compañeros. Aislarlos no es la solución; en cambio, debemos fomentar la inclusión y la aceptación de las diferencias. Todos somos únicos y valiosos, y cada uno de nosotros puede contribuir de manera significativa a la sociedad.",DISCAPACITADOS
74,trainCN-74,Las personas con discapacidades físicas son menos inteligentes.,"Las personas con discapacidades físicas pueden tener habilidades intelectuales iguales o incluso superiores a las de personas sin discapacidades. La inteligencia no está determinada por la capacidad física de una persona, sino por su capacidad para aprender, adaptarse y resolver problemas. No es justo ni exacto asumir lo contrario.",DISCAPACITADOS
